"FIPS_Code","Year","State","Avg.Unhealthy.Days","Avg.Max.AQI","Avg.Days.PM2.5","y2_state","Migrants.outflows"
10,2016,"Delaware",0.333333333333333,139.666666666667,89.3333333333333,"DE",26900
12,2016,"Florida",0.0769230769230769,95.5897435897436,98.5897435897436,"FL",392747
13,2016,"Georgia",0.46875,129.28125,154.46875,"GA",228611
15,2016,"Hawaii",0,90.25,272.75,"HI",61022
16,2016,"Idaho",0.3,107.1,280.9,"ID",44831
17,2016,"Illinois",0.0869565217391304,115.347826086957,80.8695652173913,"IL",256855
18,2016,"Indiana",0.027027027027027,113.351351351351,125.648648648649,"IN",116111
19,2016,"Iowa",0.105263157894737,97.9473684210526,166.157894736842,"IA",60856
20,2016,"Kansas",0.0909090909090909,104.727272727273,43.9090909090909,"KS",89248
21,2016,"Kentucky",0.142857142857143,111.714285714286,104.285714285714,"KY",86762
22,2016,"Louisiana",0,97,104.181818181818,"LA",86086
23,2016,"Maine",0.0909090909090909,98.3636363636364,110.727272727273,"ME",23688
24,2016,"Maryland",0.4375,130.9375,103,"MD",166151
25,2016,"Massachusetts",0.153846153846154,121.076923076923,83.6923076923077,"MA",133884
26,2016,"Michigan",0.0714285714285714,123.107142857143,96.3571428571429,"MI",131173
27,2016,"Minnesota",0.05,102.55,159.25,"MN",88148
28,2016,"Mississippi",0,85.1818181818182,104.818181818182,"MS",62024
29,2016,"Missouri",0.0952380952380952,104.52380952381,94.1904761904762,"MO",122792
30,2016,"Montana",0.263157894736842,116.684210526316,170.473684210526,"MT",26885
31,2016,"Nebraska",0,78.2,100.3,"NE",42779
32,2016,"Nevada",0,151,63.1111111111111,"NV",88593
33,2016,"New Hampshire",0,99.8571428571429,42.2857142857143,"NH",35981
34,2016,"New Jersey",0.375,137.4375,115.0625,"NJ",197139
35,2016,"New Mexico",0.25,119.5625,67.0625,"NM",61960
36,2016,"New York",0.0689655172413793,119.034482758621,84.1724137931034,"NY",397463
37,2016,"North Carolina",0.472222222222222,115,96.5277777777778,"NC",227662
38,2016,"North Dakota",0,92.4,40.4,"ND",35286
39,2016,"Ohio",0,109.897435897436,116.384615384615,"OH",172699
40,2016,"Oklahoma",0.04,92.8,57.08,"OK",83223
41,2016,"Oregon",0.0454545454545455,90.8181818181818,274.727272727273,"OR",85784
42,2016,"Pennsylvania",0.027027027027027,126,119.135135135135,"PA",210490
44,2016,"Rhode Island",0.333333333333333,146,132,"RI",26986
45,2016,"South Carolina",0.55,115.8,85,"SC",108587
46,2016,"South Dakota",0,90.1,105.8,"SD",23022
47,2016,"Tennessee",0.416666666666667,111.375,73.9583333333333,"TN",142546
48,2016,"Texas",0.0952380952380952,104.97619047619,111.47619047619,"TX",472140
49,2016,"Utah",1.07142857142857,124.857142857143,60,"UT",68282
50,2016,"Vermont",0,83,81.5,"VT",16733
51,2016,"Virginia",0,91.2647058823529,71.7058823529412,"VA",254059
53,2016,"Washington",0.172413793103448,88.1724137931034,287.448275862069,"WA",163214
54,2016,"West Virginia",0,95.8571428571429,83.2142857142857,"WV",37126
55,2016,"Wisconsin",0.259259259259259,118.592592592593,85.8888888888889,"WI",90978
56,2016,"Wyoming",0.0555555555555556,94.7777777777778,16.0555555555556,"WY",25606
1,2017,"Alabama",0.0555555555555556,104.333333333333,127.333333333333,"AL",113649
2,2017,"Alaska",3,92,158.571428571429,"AK",52364
4,2017,"Arizona",1.23076923076923,147.692307692308,36.3076923076923,"AZ",209214
5,2017,"Arkansas",0,84.0909090909091,133.636363636364,"AR",77410
6,2017,"California",6.9811320754717,288.301886792453,122.981132075472,"CA",750592
8,2017,"Colorado",0.09375,99.5,27.15625,"CO",235614
9,2017,"Connecticut",1.375,151.5,78.375,"CT",110337
10,2017,"Delaware",0,122.333333333333,112.666666666667,"DE",36137
12,2017,"Florida",0,105.846153846154,113.74358974359,"FL",555228
13,2017,"Georgia",0.0645161290322581,106.870967741935,144.193548387097,"GA",301116
15,2017,"Hawaii",0,75.25,268.25,"HI",87729
16,2017,"Idaho",3.15,204.5,289.45,"ID",59853
17,2017,"Illinois",0.0434782608695652,112.739130434783,94.3478260869565,"IL",353675
18,2017,"Indiana",0.0263157894736842,99.6578947368421,112.236842105263,"IN",155651
19,2017,"Iowa",0,85.0555555555556,165.944444444444,"IA",82395
20,2017,"Kansas",0.0909090909090909,93.9090909090909,60.2727272727273,"KS",116697
21,2017,"Kentucky",0,91.4285714285714,104.821428571429,"KY",114708
22,2017,"Louisiana",0,103.5,107.090909090909,"LA",116730
23,2017,"Maine",0.181818181818182,121.727272727273,99.2727272727273,"ME",29978
24,2017,"Maryland",0.25,117.5625,97,"MD",221113
25,2017,"Massachusetts",0.230769230769231,129.615384615385,93.1538461538462,"MA",178094
26,2017,"Michigan",0,104.25,87.3214285714286,"MI",170687
27,2017,"Minnesota",0,86.3,160.65,"MN",116006
28,2017,"Mississippi",0,78.0909090909091,116,"MS",79471
29,2017,"Missouri",0.0476190476190476,98.9523809523809,84.9047619047619,"MO",164867
30,2017,"Montana",3.78947368421053,188.789473684211,191.736842105263,"MT",36065
31,2017,"Nebraska",0,89.3333333333333,117,"NE",59552
32,2017,"Nevada",0.555555555555556,144.111111111111,62.5555555555556,"NV",115730
33,2017,"New Hampshire",0.142857142857143,104.857142857143,50.2857142857143,"NH",47901
34,2017,"New Jersey",0,115.625,122.3125,"NJ",253080
35,2017,"New Mexico",0.25,133.8125,67.875,"NM",77608
36,2017,"New York",0.103448275862069,101.51724137931,87.3103448275862,"NY",517304
37,2017,"North Carolina",0,87.0277777777778,101.305555555556,"NC",309313
38,2017,"North Dakota",0.545454545454545,139.363636363636,66.5454545454545,"ND",42948
39,2017,"Ohio",0.0256410256410256,105.692307692308,107.717948717949,"OH",227845
40,2017,"Oklahoma",0.037037037037037,92.3333333333333,68.2222222222222,"OK",109304
41,2017,"Oregon",4.95652173913043,215.130434782609,287.086956521739,"OR",124159
42,2017,"Pennsylvania",0.0810810810810811,106.054054054054,140.837837837838,"PA",271984
44,2017,"Rhode Island",0.333333333333333,144.666666666667,146.333333333333,"RI",35556
45,2017,"South Carolina",0,84.1578947368421,85.3157894736842,"SC",147712
46,2017,"South Dakota",0.2,107.9,122.4,"SD",30708
47,2017,"Tennessee",0.0434782608695652,89.695652173913,143.04347826087,"TN",193648
48,2017,"Texas",0.166666666666667,113.833333333333,127.833333333333,"TX",571981
49,2017,"Utah",1.42857142857143,136.714285714286,57.2142857142857,"UT",93647
50,2017,"Vermont",0,76.75,96.75,"VT",21457
51,2017,"Virginia",0.0303030303030303,74.969696969697,61.6060606060606,"VA",347870
53,2017,"Washington",3.93333333333333,183.5,289.733333333333,"WA",235808
54,2017,"West Virginia",0,82,91.2857142857143,"WV",49887
55,2017,"Wisconsin",0,100.666666666667,79.3333333333333,"WI",120897
56,2017,"Wyoming",0.529411764705882,167.588235294118,18.8823529411765,"WY",35249
1,2018,"Alabama",0.117647058823529,98.5294117647059,132.705882352941,"AL",89318
2,2018,"Alaska",1.375,84.125,166.375,"AK",35890
4,2018,"Arizona",1,199.538461538462,36.0769230769231,"AZ",159284
5,2018,"Arkansas",0,94.3333333333333,128.25,"AR",59827
6,2018,"California",9.69811320754717,231.11320754717,138.716981132075,"CA",592703
8,2018,"Colorado",0.818181818181818,128.606060606061,31.9090909090909,"CO",174110
9,2018,"Connecticut",1.125,144,73,"CT",85836
10,2018,"Delaware",0,141,96.3333333333333,"DE",27298
12,2018,"Florida",0.0512820512820513,101.384615384615,102,"FL",455874
13,2018,"Georgia",0,94.6206896551724,154.379310344828,"GA",230935
15,2018,"Hawaii",0.5,86,249.75,"HI",61021
16,2018,"Idaho",0.9,150.65,287.2,"ID",46929
17,2018,"Illinois",0.434782608695652,124.434782608696,115.478260869565,"IL",259810
18,2018,"Indiana",0.108108108108108,115.378378378378,100.918918918919,"IN",117657
19,2018,"Iowa",0,97.1875,176.25,"IA",60379
20,2018,"Kansas",0.0909090909090909,104.727272727273,66.6363636363636,"KS",83980
21,2018,"Kentucky",0.111111111111111,101.074074074074,103.37037037037,"KY",85337
22,2018,"Louisiana",0.0454545454545455,103.727272727273,111.954545454545,"LA",89229
23,2018,"Maine",0.2,113.8,81.1,"ME",23871
24,2018,"Maryland",0.125,122.0625,97.25,"MD",164713
25,2018,"Massachusetts",0,117.230769230769,103,"MA",137891
26,2018,"Michigan",0.214285714285714,121.392857142857,81.1428571428571,"MI",130302
27,2018,"Minnesota",0,99.8571428571429,180.47619047619,"MN",87237
28,2018,"Mississippi",0.0909090909090909,105.363636363636,150.272727272727,"MS",62900
29,2018,"Missouri",0.0476190476190476,109.238095238095,90.7142857142857,"MO",123735
30,2018,"Montana",1.36842105263158,140.421052631579,187.263157894737,"MT",28796
31,2018,"Nebraska",0,82,113.111111111111,"NE",43393
32,2018,"Nevada",0.777777777777778,140,63.5555555555556,"NV",91815
33,2018,"New Hampshire",0,95.4285714285714,54.4285714285714,"NH",37804
34,2018,"New Jersey",0.5,140.125,127.375,"NJ",200889
35,2018,"New Mexico",0.5,107.625,70.5,"NM",58311
36,2018,"New York",0.178571428571429,122.678571428571,96.5714285714286,"NY",402571
37,2018,"North Carolina",0,90.75,96.5833333333333,"NC",228607
38,2018,"North Dakota",0.2,109.9,82.2,"ND",28840
39,2018,"Ohio",0.05,107.775,110.6,"OH",168010
40,2018,"Oklahoma",0.12,122.52,86.32,"OK",80505
41,2018,"Oregon",4.47826086956522,164.434782608696,291.434782608696,"OR",96843
